country,country_code_2_digit,country_code_3_digit,population,reported_date,hospital_occupancy_count,icu_occupancy_count,source
Austria,AT,AUT,8858775,2020-10-25,1225,174,Country_Website
Belgium,BE,BEL,11455519,2020-10-25,4825,756,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-25,1976,138,External_Github
Czechia,CZ,CZE,10649800,2020-10-25,5613,828,Country_Website
Denmark,DK,DNK,5806081,2020-10-25,127,18,Country_Website
Estonia,EE,EST,1324820,2020-10-25,29,4,Country_API
France,FR,FRA,67012883,2020-10-25,16454,2575,Country_Website
Hungary,HU,HUN,9772756,2020-10-25,2449,221,JRC
Ireland,IE,IRL,4904240,2020-10-25,319,39,Country_Website
Italy,IT,ITA,60359546,2020-10-25,13214,1208,Country_Github
Latvia,LV,LVA,1919968,2020-10-25,146,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-25,114,12,Country_Website
Netherlands,NL,NLD,17282163,2020-10-25,,537,Other Website
Portugal,PT,PRT,10276617,2020-10-25,1574,230,Country_Website
Romania,RO,ROU,19414458,2020-10-25,,828,Country_Website
Slovakia,SK,SVK,5450421,2020-10-25,1117,,JRC
Slovenia,SI,SVN,2080908,2020-10-25,508,73,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-25,9199,,Country_Website
Austria,AT,AUT,8858775,2020-10-24,1177,175,Country_Website
Belgium,BE,BEL,11455519,2020-10-24,4408,694,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-24,1886,127,External_Github
Czechia,CZ,CZE,10649800,2020-10-24,5345,800,Country_Website
Denmark,DK,DNK,5806081,2020-10-24,120,17,Country_Website
Estonia,EE,EST,1324820,2020-10-24,28,3,Country_API
France,FR,FRA,67012883,2020-10-24,15637,2491,Country_Website
Hungary,HU,HUN,9772756,2020-10-24,2245,205,JRC
Ireland,IE,IRL,4904240,2020-10-24,312,37,Country_Website
Italy,IT,ITA,60359546,2020-10-24,12415,1128,Country_Github
Latvia,LV,LVA,1919968,2020-10-24,127,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-24,103,12,Country_Website
Netherlands,NL,NLD,17282163,2020-10-24,,525,Other Website
Portugal,PT,PRT,10276617,2020-10-24,1455,221,Country_Website
Romania,RO,ROU,19414458,2020-10-24,,787,Country_Website
Slovakia,SK,SVK,5450421,2020-10-24,920,,JRC
Slovenia,SI,SVN,2080908,2020-10-24,450,66,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-24,8738,,Country_Website
Austria,AT,AUT,8858775,2020-10-23,1058,158,Country_Website
Belgium,BE,BEL,11455519,2020-10-23,4057,633,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-23,1792,112,External_Github
Croatia,HR,HRV,4076246,2020-10-23,716,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-23,5314,772,Country_Website
Denmark,DK,DNK,5806081,2020-10-23,125,18,Country_Website
Estonia,EE,EST,1324820,2020-10-23,27,3,Country_API
Finland,FI,FIN,5517919,2020-10-23,70,11,External_Github
France,FR,FRA,67012883,2020-10-23,14985,2432,Country_Website
Hungary,HU,HUN,9772756,2020-10-23,2209,200,JRC
Ireland,IE,IRL,4904240,2020-10-23,311,38,Country_Website
Italy,IT,ITA,60359546,2020-10-23,11598,1049,Country_Github
Latvia,LV,LVA,1919968,2020-10-23,113,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-23,88,12,Country_Website
Netherlands,NL,NLD,17282163,2020-10-23,,518,Other Website
Norway,NO,NOR,5328212,2020-10-23,44,,Country_API
Portugal,PT,PRT,10276617,2020-10-23,1418,198,Country_Website
Romania,RO,ROU,19414458,2020-10-23,,782,Country_Website
Slovakia,SK,SVK,5450421,2020-10-23,828,,JRC
Slovenia,SI,SVN,2080908,2020-10-23,394,66,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-23,8412,,Country_Website
Austria,AT,AUT,8858775,2020-10-22,1002,161,Country_Website
Belgium,BE,BEL,11455519,2020-10-22,3649,573,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-22,1732,107,External_Github
Croatia,HR,HRV,4076246,2020-10-22,661,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-22,5044,751,Country_Website
Denmark,DK,DNK,5806081,2020-10-22,124,17,Country_Website
Estonia,EE,EST,1324820,2020-10-22,28,2,Country_API
France,FR,FRA,67012883,2020-10-22,14009,2310,Country_Website
Hungary,HU,HUN,9772756,2020-10-22,2132,197,JRC
Ireland,IE,IRL,4904240,2020-10-22,310,37,Country_Website
Italy,IT,ITA,60359546,2020-10-22,10686,992,Country_Github
Latvia,LV,LVA,1919968,2020-10-22,105,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-22,86,10,Country_Website
Netherlands,NL,NLD,17282163,2020-10-22,,508,Other Website
Norway,NO,NOR,5328212,2020-10-22,44,,Country_API
Poland,PL,POL,37972812,2020-10-22,10091,,Country_Website
Portugal,PT,PRT,10276617,2020-10-22,1365,200,Country_Website
Romania,RO,ROU,19414458,2020-10-22,,778,Country_Website
Slovakia,SK,SVK,5450421,2020-10-22,876,,JRC
Slovenia,SI,SVN,2080908,2020-10-22,356,62,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-22,7903,,Country_Website
Austria,AT,AUT,8858775,2020-10-21,960,147,Country_Website
Belgium,BE,BEL,11455519,2020-10-21,3275,525,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-21,1633,93,External_Github
Croatia,HR,HRV,4076246,2020-10-21,622,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-21,4777,735,Country_Website
Denmark,DK,DNK,5806081,2020-10-21,122,16,Country_Website
Estonia,EE,EST,1324820,2020-10-21,32,3,Country_API
Finland,FI,FIN,5517919,2020-10-21,65,7,External_Github
France,FR,FRA,67012883,2020-10-21,13162,2239,Country_Website
Hungary,HU,HUN,9772756,2020-10-21,2023,201,JRC
Ireland,IE,IRL,4904240,2020-10-21,324,35,Country_Website
Italy,IT,ITA,60359546,2020-10-21,9983,926,Country_Github
Latvia,LV,LVA,1919968,2020-10-21,79,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-21,69,8,Country_Website
Netherlands,NL,NLD,17282163,2020-10-21,,493,Other Website
Norway,NO,NOR,5328212,2020-10-21,36,,Country_API
Poland,PL,POL,37972812,2020-10-21,9439,,Country_Website
Portugal,PT,PRT,10276617,2020-10-21,1272,187,Country_Website
Romania,RO,ROU,19414458,2020-10-21,,766,Country_Website
Slovakia,SK,SVK,5450421,2020-10-21,844,,JRC
Slovenia,SI,SVN,2080908,2020-10-21,333,55,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-21,7762,,Country_Website
